tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt1231580,movie,Alvin and the Chipmunks: The Squeakquel,Alvin and the Chipmunks: The Squeakquel,0,2009,\N,88,"Adventure,Comedy,Family",4.6,56871
tt1230414,movie,It's Complicated,It's Complicated,0,2009,\N,120,"Comedy,Drama,Romance",6.5,100406
tt1229822,movie,Jane Eyre,Jane Eyre,0,2011,\N,120,"Drama,Mystery,Romance",7.3,95006
tt1229340,movie,Anchorman 2: The Legend Continues,Anchorman 2: The Legend Continues,0,2013,\N,119,Comedy,6.3,196472
tt1229238,movie,Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol,0,2011,\N,132,"Action,Adventure,Thriller",7.4,539660
tt1228987,movie,Let Me In,Let Me In,0,2010,\N,116,"Drama,Fantasy,Horror",7.1,129888
tt1228705,movie,Iron Man 2,Iron Man 2,0,2010,\N,124,"Action,Sci-Fi",6.9,894247
tt1226837,movie,Beautiful Boy,Beautiful Boy,0,2018,\N,120,"Biography,Drama",7.4,110851
tt1226774,movie,In the Loop,In the Loop,0,2009,\N,106,Comedy,7.4,62643
tt1226753,movie,The Debt,The Debt,0,2010,\N,113,"Drama,Thriller",6.8,72720
tt12263384,movie,Extraction II,Extraction 2,0,2023,\N,122,"Action,Crime,Thriller",7,160646
tt1226273,movie,Edge of Darkness,Edge of Darkness,0,2010,\N,117,"Action,Adventure,Drama",6.6,101083
tt1226229,movie,Get Him to the Greek,Get Him to the Greek,0,2010,\N,109,"Comedy,Music",6.3,187655
